PNA,Nazwa jednostki organizacyjnej,Miejscowość,Ulica,Nr
15-959,Region Infrastruktury w Białymstoku,Białystok,Kolejowa,26
80-940,Region Infrastruktury w Gdańsku,Gdańsk,Targ Rakowy,7/8
40-940,Region Infrastruktury w Katowicach,Katowice,Plac Oddziałów Młodzieży Powstańczej,7
30-093,Region Infrastruktury w Krakowie,Kraków,Bronowicka,44
20-900,Region Infrastruktury w Lublinie,Lublin,Wacława Moritza,2
90-940,Region Infrastruktury w Łodzi,Łódź,Aleja T. Kościuszki,5/7
60-943,Region Infrastruktury w Poznaniu,Poznań,Głogowska,17
70-940,Region Infrastruktury w Szczecinie,Szczecin,Aleja Niepodległości,41/42
00-941,Region Infrastruktury w Warszawie,Warszawa,Świętokrzyska,31/33
50-940,Region Infrastruktury we Wrocławiu,Wrocław,Powstańców Śląskich,134
