Kod;Województwo;Powiat;Gmina;
00-001;mazowieckie;Warszawa;Warszawa;
05-070;mazowieckie;miński;Sulejówek;
05-071;mazowieckie;miński;Sulejówek;
05-074;mazowieckie;miński;Halinów;
05-079;mazowieckie;miński;Halinów;
05-080;mazowieckie;warszawski zachodni;Izabelin;
05-082;mazowieckie;warszawski zachodni;Stare Babice;
05-083;mazowieckie;warszawski zachodni;Leszno;
05-084;mazowieckie;warszawski zachodni;Leszno;
05-085;mazowieckie;warszawski zachodni;Kampinos;
05-088;mazowieckie;sochaczewski;Brochów;
05-090;mazowieckie;pruszkowski;Raszyn;
05-091;mazowieckie;wołomiński;Ząbki;
05-092;mazowieckie;warszawski zachodni;Łomianki;
05-100;mazowieckie;nowodworski;Nowy Dwór Mazowiecki;
05-101;mazowieckie;nowodworski;Nowy Dwór Mazowiecki;
05-102;mazowieckie;nowodworski;Nowy Dwór Mazowiecki;
05-110;mazowieckie;legionowski;Jabłonna;
05-119;mazowieckie;legionowski;Legionowo;
05-120;mazowieckie;legionowski;Legionowo;
05-123;mazowieckie;legionowski;Jabłonna;
05-124;mazowieckie;legionowski;Wieliszew;
05-126;mazowieckie;legionowski;Nieporęt;
05-130;mazowieckie;legionowski;Nieporęt;
05-131;mazowieckie;legionowski;Serock;
05-135;mazowieckie;legionowski;Wieliszew;
05-140;mazowieckie;legionowski;Serock;
05-152;mazowieckie;nowodworski;Czosnów;
05-155;mazowieckie;nowodworski;Leoncin;
05-160;mazowieckie;nowodworski;Nowy Dwór Mazowiecki;
05-170;mazowieckie;nowodworski;Zakroczym;
05-180;mazowieckie;nowodworski;Pomiechówek;
05-190;mazowieckie;nowodworski;Nasielsk;
05-191;mazowieckie;nowodworski;Nasielsk;
05-192;mazowieckie;płoński;Nowe Miasto;
05-200;mazowieckie;wołomiński;Wołomin;
05-205;mazowieckie;wołomiński;Klembów;
05-220;mazowieckie;wołomiński;Zielonka;
05-230;mazowieckie;wołomiński;Kobyłka;
05-240;mazowieckie;wołomiński;Tłuszcz;
05-250;mazowieckie;wołomiński;Radzymin;
05-252;mazowieckie;wołomiński;Dąbrówka;
05-254;mazowieckie;wołomiński;Dąbrówka;
05-255;mazowieckie;wołomiński;Radzymin;
05-270;mazowieckie;wołomiński;Marki;
05-280;mazowieckie;wołomiński;Jadów;
05-281;mazowieckie;wołomiński;Jadów;
05-282;mazowieckie;wołomiński;Strachówka;
05-303;mazowieckie;miński;Mińsk Mazowiecki;
05-304;mazowieckie;miński;Stanisławów;
05-306;mazowieckie;miński;Jakubów;
05-307;mazowieckie;miński;Dobre;
05-310;mazowieckie;miński;Kałuszyn;
05-311;mazowieckie;miński;Dębe Wielkie;
05-317;mazowieckie;miński;Mrozy;
05-319;mazowieckie;miński;Cegłów;
05-320;mazowieckie;miński;Mrozy;
05-326;mazowieckie;wołomiński;Poświętne;
05-332;mazowieckie;miński;Siennica;
05-334;mazowieckie;miński;Latowicz;
05-340;mazowieckie;otwocki;Kołbiel;
05-400;mazowieckie;otwocki;Otwock;
05-402;mazowieckie;otwocki;Otwock;
05-408;mazowieckie;otwocki;Wiązowna;
05-430;mazowieckie;otwocki;Celestynów;
05-462;mazowieckie;otwocki;Wiązowna;
05-480;mazowieckie;otwocki;Karczew;
05-500;mazowieckie;piaseczyński;Piaseczno;
05-501;mazowieckie;piaseczyński;Lesznowola;
05-502;mazowieckie;piaseczyński;Piaseczno;
05-503;mazowieckie;piaseczyński;Piaseczno;
05-504;mazowieckie;piaseczyński;Piaseczno;
05-505;mazowieckie;piaseczyński;Prażmów;
05-506;mazowieckie;piaseczyński;Lesznowola;
05-510;mazowieckie;piaseczyński;Konstancin-Jeziorna;
05-520;mazowieckie;piaseczyński;Konstancin-Jeziorna;
05-530;mazowieckie;piaseczyński;Góra Kalwaria;
05-532;mazowieckie;piaseczyński;Góra Kalwaria;
05-540;mazowieckie;piaseczyński;Prażmów;
05-552;mazowieckie;piaseczyński;Lesznowola;
05-555;mazowieckie;piaseczyński;Tarczyn;
05-600;mazowieckie;grójecki;Grójec;
05-604;mazowieckie;grójecki;Jasieniec;
05-610;mazowieckie;grójecki;Goszczyn;
05-620;mazowieckie;grójecki;Błędów;
05-622;mazowieckie;grójecki;Belsk Duży;
05-640;mazowieckie;grójecki;Mogielnica;
05-650;mazowieckie;grójecki;Chynów;
05-652;mazowieckie;grójecki;Pniewy;
05-660;mazowieckie;grójecki;Warka;
05-800;mazowieckie;pruszkowski;Pruszków;
05-802;mazowieckie;pruszkowski;Pruszków;
05-803;mazowieckie;pruszkowski;Pruszków;
05-804;mazowieckie;pruszkowski;Pruszków;
05-805;mazowieckie;pruszkowski;Brwinów;
05-806;mazowieckie;pruszkowski;Michałowice;
05-807;mazowieckie;grodziski;Podkowa Leśna;
05-808;mazowieckie;pruszkowski;Brwinów;
05-816;mazowieckie;pruszkowski;Michałowice;
05-820;mazowieckie;pruszkowski;Michałowice;
05-822;mazowieckie;grodziski;Milanówek;
05-825;mazowieckie;grodziski;Grodzisk Mazowiecki;
05-830;mazowieckie;pruszkowski;Nadarzyn;
