PNA,Nazwa jednostki organizacyjnej,Miejscowość,Ulica,Nr
15-100,Region Sieci Białystok,Białystok,Bitwy Białostockiej,8 A
85-001,Region Sieci Bydgoszcz,Bydgoszcz,Jagiellońska,6
80-940,Region Sieci Gdańsk,Gdańsk,Targ Rakowy,7/8
66-400,Region Sieci Gorzów Wielkopolski,Gorzów Wielkopolski,Kazimierza Jagiellończyka,4
40-940,Region Sieci Katowice,Katowice,Plac Oddziałów Młodzieży Powstańczej,7
25-001,Region Sieci Kielce,Kielce,pl. Niepodległości,2
30-940,Region Sieci Kraków,Kraków,Grochowska,2
20-001,Region Sieci Lublin,Lublin,Krakowskie Przedmieście,50
90-900,Region Sieci Łódź,Łódź,al. Włókniarzy,227
10-001,Region Sieci Olsztyn,Olsztyn,Seweryna Pieniężnego,21
45-076,Region Sieci Opole,Opole,Krakowska,46
60-942,Region Sieci Poznań,Poznań,Tadeusza Kościuszki,77
35-959,Region Sieci Rzeszów,Rzeszów,Adama Asnyka,9
70-405,Region Sieci Szczecin,Szczecin,Aleja Niepodległości,41/42
00-941,Region Sieci Warszawa-Miasto,Warszawa,Świętokrzyska,31/33
00-965,Region Sieci Warszawa-Województwo,Warszawa,Towarowa,5
50-945,Region Sieci Wrocław,Wrocław,Zygmunta Krasińskiego,1
