PNA,Nazwa instytucji,Miejscowość,Ulica,Nr
00-923,Bank Handlowy w Warszawie S.A.,Warszawa (Śródmieście),Senatorska,16
85-959,Bank Pocztowy S.A. Centrala,Bydgoszcz,Jagiellońska,17
40-159,"Biuro Studiów, Projektów i Realizacji ""ENERGOPROJEKT-KATOWICE"" S.A.",Katowice,Jesionowa,15
30-100,BROKER FM S.A.,Kraków (Kraków-Krowodrza),Aleja Jerzego Waszyngtona,1
00-980,Centrala Zakładu Ubezpieczeń Społecznych w Warszawie,Warszawa (Mokotów),Czerniakowska,16
40-273,ENERGOAPARATURA S.A.,Katowice,gen. Kazimierza Pułaskiego,7
00-992,Fabryka Samochodów Osobowych S.A.,Warszawa (Praga-Północ),Jagiellońska,88
61-501,Izba Administracji Skarbowej,Poznań (Poznań-Wilda),Dolna Wilda,80 A
20-914,Lubelski Urząd Wojewódzki,Lublin,Spokojna,4
00-939,Media Express Sp. z o.o.,Warszawa (Praga-Południe),Jubilerska,10
00-983,Miasto Stołeczne Warszawa Dzielnica Targówek,Warszawa (Targówek),Ludwika Kondratowicza,20
00-928,Ministerstwo Infrastruktury,Warszawa (Śródmieście),Tytusa Chałubińskiego,4/6
00-919,Narodowy Bank Polski Centrala,Warszawa (Śródmieście),Świętokrzyska,11/21
20-950,Perła-Browary Lubelskie S.A.,Lublin,Bernardyńska,15
61-501,Pierwszy Urząd Skarbowy,Poznań (Poznań-Wilda),Dolna Wilda,80
22-411,PKO Bank Polski Kancelaria,Zamość,Partyzantów,15
40-980,PKO BP SA CRB Biuro w Katowicach,Katowice,Konstantego Damrota,23
00-944,PKO BP SA Oddział  I w Warszawie,Warszawa (Śródmieście),Henryka Sienkiewicza,12
50-901,PKO BP SA Oddział  I we Wrocławiu,Wrocław (Wrocław-Stare Miasto),Wita Stwosza,33/35
90-924,Politechnika Łódzka,Łódź (Łódź-Polesie),Stefana Żeromskiego,116
00-977,Polskie Radio S.A.,Warszawa (Mokotów),Aleja Niepodległości,77/85
00-906,Przedsiębiorstwo Państwowe Porty Lotnicze,Warszawa (Włochy),Żwirki i Wigury,1
