PNA,Nazwa placówki,,Miejscowość,Ulica,Nr
26-337,UP,Aleksandrów k. Opoczna,Aleksandrów,,39 C
26-341,FUP,Aleksandrów k. Opoczna,Mniszków,Powstańców Wielkopolskich,1
87-700,UP,Aleksandrów Kujawski 1,Aleksandrów Kujawski,Dworcowa,1
87-712,FUP,Aleksandrów Kujawski 1,Aleksandrów Kujawski,Szkolna,13
95-070,UP,Aleksandrów Łódzki 1,Aleksandrów Łódzki,Wojska Polskiego,69
95-069,FUP,Aleksandrów Łódzki 1,Aleksandrów Łódzki,Warszawska,3
95-071,FUP,Aleksandrów Łódzki 1,Rąbień,Pańska,14
32-566,UP,Alwernia,Alwernia,Zbigniewa Gęsikowskiego,7
32-551,FUP,Alwernia,Babice,Krakowska,47
06-212,AP,Amelin,Amelin,,8
34-120,UP,Andrychów,Andrychów,Krakowska,100
34-120,FUP,Andrychów,Andrychów,Stanisława Lenartowicza,36 B
34-122,FUP,Andrychów,Wieprz,Centralna,1
34-120,AP,Andrychów,Andrychów,Beskidzka,5 A
34-121,AP,Andrychów,Andrychów,Krakowska,83 E
07-305,UP,Andrzejewo k. Czyżewa,Andrzejewo,Wysocka,1 A
23-235,UP,Annopol,Annopol,Rynek,24
37-455,AP,Antoniów,Antoniów,,114
16-300,UP,Augustów 1,Augustów,rynek Zygmunta Augusta,3
16-303,FUP,Augustów 1,Augustów,Hoża,2 B
16-300,FUP,Augustów 1,Augustów,Komunalna,2
16-301,FUP,Augustów 1,skrytki/przegródki,,
16-302,FUP,Augustów 1,Augustów,Partyzantów,42
16-320,FUP,Augustów 1,Bargłów Kościelny,Tysiąclecia,2
16-304,FUP,Augustów 1,Nowinka,,27 A
16-326,FUP,Augustów 1,Płaska,,53
62-620,UP,Babiak,Babiak,pl. Wolności,2
66-110,UP,Babimost,Babimost,Wolsztyńska,3
09-130,UP,Baboszewo,Baboszewo,Jana i Antoniego Brodeckich,1
09-164,FUP,Baboszewo,Dzierzążnia,,28
12-160,AP,Baranowo,Baranowo,,18
06-320,UP,Baranowo k. Ostrołęki,Baranowo,pl. Rynek,7
63-604,UP,Baranów,Baranów,Kościelna,2
39-450,UP,Baranów Sandomierski,Baranów Sandomierski,Mickiewicza,3
11-043,AP,Barcikowo,Barcikowo,,5
88-193,AP,Barcin,Barcin,Świętego Wojciecha,5/1
88-190,UP,Barcin 1,Barcin,Artylerzystów,5
88-192,FUP,Barcin 1,Piechcin,11 Listopada,3
11-010,UP,Barczewo,Barczewo,pl. Pocztowy,1
77-300,AP,Barkowo k. Człuchowa,Barkowo,,15 A
74-320,UP,Barlinek,Barlinek,al. 1 Maja,6
73-260,FUP,Barlinek,Pełczyce,Bursztynowy Rynek,4
74-320,AP,Barlinek,Barlinek,Żabia,2 A
16-070,AP,Barszczewo,Barszczewo,,11 A
11-200,UP,Bartoszyce 1,Bartoszyce,11 Listopada,3
11-205,FUP,Bartoszyce 1,Bartoszyce,Generała Bema,16 B
11-201,FUP,Bartoszyce 1,Bartoszyce,Generała Bema,53
11-204,FUP,Bartoszyce 1,Bartoszyce,Ogrodowa,1 A
11-207,FUP,Bartoszyce 1,Bartoszyce,Warszawska,23
11-206,FUP,Bartoszyce 1,Bartoszyce,Kardynała Wyszyńskiego,11
78-460,UP,Barwice k. Szczecinka,Barwice,Plac Wolności,4
78-450,FUP,Barwice k. Szczecinka,Grzmiąca,Kolejowa,3 A
36-245,AP,Barycz,Barycz,,264
87-704,UP,Bądkowo,Bądkowo,Kujawska,41
87-732,FUP,Bądkowo,Lubanie,,17 A
29-100,AP,Bebelno-Kolonia,Bebelno-Kolonia,,79
64-212,AP,Belęcin,Belęcin,,30
05-622,UP,Belsk Duży k. Grójca,Belsk Duży,Jana Kozietulskiego,4
97-400,AP,Bełchatów,Bełchatów,Olsztyńska,1 B
97-405,AP,Bełchatów,Bełchatów,Rynek Grocholski,27
97-400,AP,Bełchatów,Bełchatów,Wojska Polskiego,5 K
97-400,UP,Bełchatów 1,Bełchatów,Kościuszki,21
97-408,FUP,Bełchatów 1,Bełchatów,św. Barbary,2
97-407,FUP,Bełchatów 1,Bełchatów,Energetyków,12
97-406,FUP,Bełchatów 1,Bełchatów,Malinowa,2 A
97-415,FUP,Bełchatów 1,Kluki,,88
24-200,UP,Bełżyce,Bełżyce,Lubelska,3
24-201,AP,Bełżyce,Bełżyce,Bychawska,22
63-700,AP,Benice,Benice,Krotoszyńska,14
16-500,AP,Berżniki,Berżniki,,54
43-512,UP,Bestwina,Bestwina,Podzamcze,16
42-500,UP,Będzin 1,Będzin,Ignacego Krasickiego,1
42-500,FUP,Będzin 1,Będzin,Bolesława Chrobrego,3
,© Copyright by Poczta Polska S.A. Wszelkie prawa zastrzeżone.,,,Strona 1673 / 1767,BĘD
Poczta Polska S.A.,,Oficjalny Spis Pocztowych Numerów Adresowych - lipiec 2024,,Strona 1674 / 1767,BĘD
PNA,Nazwa placówki,,Miejscowość,Ulica,Nr
42-500,FUP,Będzin 1,Będzin,rtm. Witolda Pileckiego,15
42-500,FUP,Będzin 1,Będzin,Pokoju,24
42-506,FUP,Będzin 1,Będzin,mjr. Bolesława Zagórnego,18
42-500,FUP,Będzin 1,Będzin,Żwirki i Wigury,24 A
42-500,FUP,Będzin 1,Czeladź,Będzińska,80
42-500,FUP,Będzin 1,Psary,Malinowicka,4
42-500,FUP,Będzin 1,Sosnowiec,Stanisława Staszica,8 B
42-500,FUP,Będzin 1,Sosnowiec,Zuzanny,20
